,id,game_date,season,home_team,away_team,home_is_winner,lowvig_home,lowvig_away,bovada_home,bovada_away,betonlineag_home,betonlineag_away,unibet_home,unibet_away,sport888_home,sport888_away,draftkings_home,draftkings_away,pinnacle_home,pinnacle_away,mybookieag_home,mybookieag_away,lowvig_home_brier,bovada_home_brier,betonlineag_home_brier,unibet_home_brier,sport888_home_brier,draftkings_home_brier,pinnacle_home_brier,mybookieag_home_brier,lowvig_away_brier,bovada_away_brier,betonlineag_away_brier,unibet_away_brier,sport888_away_brier,draftkings_away_brier,pinnacle_away_brier,mybookieag_away_brier
1980,2026,2021-04-18,2021,Cincinnati Reds,Cleveland Indians,0,0.41841004184100417,0.6031746031746031,0.4166666666666667,0.6168582375478927,0.41841004184100417,0.6031746031746031,0.4166666666666667,0.6323529411764706,0.4166666666666667,0.6212121212121212,0.4166666666666667,0.6212121212121212,0.4132231404958678,0.6062992125984252,0.4166666666666667,0.6212121212121212,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1989,2029,2021-04-18,2021,Miami Marlins,San Francisco Giants,0,0.5454545454545454,0.47393364928909953,0.5454545454545454,0.5,0.5495495495495496,0.47393364928909953,0.5495495495495496,0.49019607843137253,0.5495495495495496,0.49019607843137253,0.5495495495495496,0.49019607843137253,0.5327102803738317,0.4878048780487805,0.5555555555555556,0.4878048780487805,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1990,2030,2021-04-18,2021,Kansas City Royals,Toronto Blue Jays,1,0.5192307692307693,0.504950495049505,0.5238095238095238,0.5238095238095238,0.5073891625615764,0.5192307692307693,0.5192307692307693,0.5215311004784688,0.5192307692307693,0.5215311004784688,0.5192307692307693,0.5215311004784688,0.4975124378109453,0.5215311004784688,0.5238095238095238,0.5238095238095238,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1991,2031,2021-04-18,2021,Milwaukee Brewers,Pittsburgh Pirates,0,0.6453900709219859,0.373134328358209,0.6666666666666666,0.37174721189591076,0.6491228070175439,0.373134328358209,0.6845425867507886,0.36363636363636365,0.6710526315789473,0.36363636363636365,0.6710526315789473,0.36363636363636365,0.6491228070175439,0.37174721189591076,0.6666666666666666,0.37037037037037035,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1992,2032,2021-04-18,2021,Texas Rangers,Baltimore Orioles,1,0.5192307692307693,0.504950495049505,0.5238095238095238,0.5238095238095238,0.5215311004784688,0.504950495049505,0.5238095238095238,0.5260663507109005,0.5238095238095238,0.5260663507109005,0.5238095238095238,0.5283018867924528,0.5260663507109005,0.49504950495049505,0.5238095238095238,0.5238095238095238,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1993,2033,2021-04-18,2021,Colorado Rockies,New York Mets,0,0.39215686274509803,0.6282527881040892,0.4,0.6363636363636364,0.3937007874015748,0.6282527881040892,0.39215686274509803,0.6539792387543253,0.39215686274509803,0.6453900709219859,0.39215686274509803,0.6453900709219859,0.38461538461538464,0.6363636363636364,0.39215686274509803,0.6491228070175439,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1994,2034,2021-04-18,2021,Oakland Athletics,Detroit Tigers,1,0.5815899581589958,0.4366812227074236,0.588477366255144,0.45045045045045046,0.5780590717299579,0.44052863436123346,0.5951417004048583,0.4444444444444444,0.5951417004048583,0.4444444444444444,0.5951417004048583,0.4444444444444444,0.574468085106383,0.44642857142857145,0.5918367346938775,0.4444444444444444,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1995,2035,2021-04-18,2021,San Diego Padres,Los Angeles Dodgers,1,0.47619047619047616,0.5454545454545454,0.4878048780487805,0.5555555555555556,0.47619047619047616,0.5454545454545454,0.4716981132075472,0.5708154506437768,0.4716981132075472,0.5652173913043478,0.4672897196261682,0.5689655172413793,0.47619047619047616,0.54337899543379,0.4878048780487805,0.5555555555555556,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1999,2039,2021-04-19,2021,Boston Red Sox,Chicago White Sox,1,0.4807692307692308,0.5412844036697247,0.5,0.5454545454545454,0.4807692307692308,0.54337899543379,0.4878048780487805,0.5515695067264574,0.4878048780487805,0.5515695067264574,0.4878048780487805,0.5515695067264574,0.4716981132075472,0.5454545454545454,0.5,0.5454545454545454,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
2002,2040,2021-04-19,2021,Washington Nationals,St. Louis Cardinals,0,0.49019607843137253,0.5327102803738317,0.49261083743842365,0.5515695067264574,0.49019607843137253,0.5348837209302325,0.49504950495049505,0.5454545454545454,0.49019607843137253,0.54337899543379,0.49019607843137253,0.5454545454545454,0.4784688995215311,0.5412844036697247,0.5,0.5454545454545454,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
