,median,mean,range
628,-8.5,-9.35135135135135,349.0
629,-8.5,-11.756756756756756,433.0
630,-7.5,-8.162162162162161,247.0
631,-8.5,-8.324324324324325,273.0
632,-108.0,-43.013513513513516,243.0
633,-8.5,-8.324324324324325,277.0
634,-8.5,-8.378378378378379,271.0
635,-8.5,-10.216216216216216,354.0
636,-8.5,-8.891891891891891,304.0
637,-8.5,-8.891891891891891,304.0
638,-8.5,-8.891891891891891,304.0
639,-8.5,-8.891891891891891,314.0
640,-107.0,-21.5,245.0
641,-8.5,-8.675675675675675,307.0
642,-8.5,-8.675675675675675,307.0
643,-8.5,-8.675675675675675,307.0
644,-8.0,-8.121621621621621,245.0
645,-7.5,-8.243243243243244,245.0
646,-8.5,-11.108108108108109,422.0
647,-8.5,-11.891891891891891,460.0
648,-8.5,-11.891891891891891,460.0
649,-8.5,-9.864864864864865,357.0
650,-8.5,-10.35135135135135,379.0
651,-8.5,-9.621621621621621,347.0
652,-8.5,-9.135135135135135,322.0
653,-108.0,-21.66216216216216,245.0
654,-8.5,-10.45945945945946,393.0
655,-106.0,-53.71621621621622,243.0
656,-8.5,-8.594594594594595,279.0
657,-5.0,-8.175675675675675,245.0
658,-5.0,-8.175675675675675,245.0
659,-8.5,-8.45945945945946,299.0
661,-8.5,-11.837837837837839,449.0
662,-8.5,-11.837837837837839,449.0
664,-7.0,-8.094594594594595,245.0
665,-7.0,-8.094594594594595,245.0
667,-8.5,-12.054054054054054,431.0
668,-8.5,-12.054054054054054,431.0
669,-6.5,-8.054054054054054,243.0
672,-8.5,-13.378378378378379,483.0
673,-8.5,-13.378378378378379,483.0
674,-8.5,-9.945945945945946,347.0
675,-8.5,-9.945945945945946,347.0
676,-8.5,-9.945945945945946,347.0
677,-8.5,-12.675675675675675,500.0
678,-8.5,-9.675675675675675,351.0
679,-8.5,-9.675675675675675,351.0
680,-8.5,-9.675675675675675,351.0
681,-8.5,-8.81081081081081,320.0
684,-8.5,-9.81081081081081,366.0
689,-8.5,-8.27027027027027,266.0
690,-8.5,-8.27027027027027,266.0
691,-108.5,-53.891891891891895,243.0
692,-8.5,-8.891891891891891,304.0
693,-8.5,-8.891891891891891,304.0
694,-8.5,-9.35135135135135,337.0
695,-8.5,-9.35135135135135,337.0
696,-8.5,-8.135135135135135,255.0
697,-8.5,-8.135135135135135,255.0
698,-8.5,-10.756756756756756,412.0
699,-8.5,-8.378378378378379,289.0
700,-108.0,-48.445945945945944,245.0
701,-8.5,-11.675675675675675,454.0
703,-7.5,-7.918918918918919,245.0
704,-8.5,-12.18918918918919,447.0
705,-8.5,-8.72972972972973,311.0
706,-8.5,-8.72972972972973,311.0
707,-8.5,-7.972972972972973,250.0
708,-8.5,-7.972972972972973,250.0
709,-8.5,-9.864864864864865,357.0
710,-8.5,-9.864864864864865,357.0
711,-8.5,-8.297297297297296,275.0
712,-8.5,-8.756756756756756,311.0
713,-9.0,-7.986486486486487,245.0
714,-9.0,-8.013513513513514,243.0
715,-8.5,-12.54054054054054,448.0
716,-8.5,-9.027027027027026,307.0
717,-8.5,-9.378378378378379,355.0
718,-8.5,-13.405405405405405,483.0
719,-8.5,-8.91891891891892,304.0
720,-8.5,-8.432432432432432,280.0
721,-108.0,-26.7972972972973,243.0
722,-8.5,-8.567567567567568,259.0
723,-8.5,-8.405405405405405,245.0
724,-8.5,-9.756756756756756,336.0
725,-8.5,-9.756756756756756,336.0
726,-8.5,-8.162162162162161,284.0
727,-8.5,-8.297297297297296,265.0
728,-8.5,-9.891891891891891,412.0
729,-108.5,-16.2972972972973,243.0
730,-6.5,-8.108108108108109,243.0
731,-8.5,-8.72972972972973,311.0
732,-8.5,-9.18918918918919,319.0
733,-8.5,-8.513513513513514,291.0
734,-8.5,-11.35135135135135,433.0
735,-8.5,-11.35135135135135,433.0
736,-8.5,-8.35135135135135,261.0
737,-8.5,-8.35135135135135,261.0
738,-8.0,-8.14864864864865,245.0
739,-8.5,-8.45945945945946,277.0
740,-8.5,-8.72972972972973,304.0
741,-8.5,-8.756756756756756,314.0
